2017-11-08T14-31-58,( - ),( C ),no peaks found,<0, no peaks found,<0
95d786a1-a10c-4708-a4d3-23454533d86d,( +++ ),( A ),Citrobacter koseri,2.49,Citrobacter koseri,2.45
a052dcfd-685e-417a-b65e-972d72b0cb2b,( ++ ),( A ),Staphylococcus epidermidis,2.12,Staphylococcus epidermidis,1.95
a3274660-83e9-4d30-9415-b387b2bb7ce8,( ++ ),( A ),Streptococcus agalactiae,2.28,Streptococcus agalactiae,2.26
96e13495-1b81-499d-bb5a-fa613a80b80f,( +++ ),( A ),Escherichia coli,2.39,Escherichia coli,2.3
acf67a4b-af22-42a2-acc1-bf431e154e04,( ++ ),( A ),Staphylococcus epidermidis,2.08,Staphylococcus epidermidis,2.02
ba3e7727-a81b-4554-b41f-9e3fde021236,( ++ ),( A ),Streptococcus massiliensis,2.16,not reliable identification,1.55
c35363d2-44f9-40b7-a9eb-14caf2276d0b,( ++ ),( A ),Staphylococcus epidermidis,2.23,Staphylococcus epidermidis,2.09
c4620955-70f6-4d60-ae3f-0df9201200a4,( +++ ),( B ),Citrobacter koseri,2.45,Citrobacter koseri,2.42
cb29bdda-9e56-4a90-b653-83215087d571,( +++ ),( A ),Pseudomonas aeruginosa,2.45,Pseudomonas aeruginosa,2.38
ce770971-2032-47c9-bd1a-ffa86a441ca6,( +++ ),( A ),Enterococcus faecalis,2.5,Enterococcus faecalis,2.48
d0247ccb-8f0a-413e-863d-e349f948fc47,( +++ ),( A ),Enterococcus faecalis,2.33,Enterococcus faecalis,2.3
d320b872-e298-424d-a9f3-733037ef2a99,( ++ ),( A ),Staphylococcus epidermidis,2.09,Staphylococcus epidermidis,2.08
d5482f4f-5224-4730-9d2c-85213085ec16,( ++ ),( A ),Staphylococcus epidermidis,2.22,Staphylococcus epidermidis,2.16
dcdd26b2-1453-4871-8829-710182872f1b,( +++ ),( A ),Citrobacter koseri,2.44,Citrobacter koseri,2.44
de35b48f-63b4-4704-bf1f-16d7da8e8472,( +++ ),( A ),MIX!Rothia dentocariosa,2.53,Rothia dentocariosa,2.52
e35b7ea1-20d3-4dd0-be29-2a1550d0961a,( - ),( C ),no peaks found,<0, no peaks found,<0
ea3f88b4-4fe8-427a-8982-bddcf75b9c61,( ++ ),( A ),Staphylococcus warneri,2.13,Staphylococcus warneri,2.04
f05b53f8-7406-4598-bd57-0bee58bf3e8d,( +++ ),( A ),Rothia dentocariosa,2.39,Rothia dentocariosa,2.3
f549168f-241f-4942-b228-58b35f4ee873,( ++ ),( A ),Staphylococcus epidermidis,2.18,Staphylococcus epidermidis,1.83
fe71fa3f-340a-4c74-84a1-df9b4bdbe31d,( +++ ),( A ),Lactobacillus paracasei,2.41,Lactobacillus paracasei,2.31
0fd72bba-b3ca-4cfc-9bc5-c7984845836e,( +++ ),( A ),Moraxella_sg_Branhamella catarrhalis,2.42,Moraxella_sg_Branhamella catarrhalis,2.38
1d5d36cd-0c62-4fee-84e4-79d549fd6ad4,( - ),( C ),no peaks found,<0, no peaks found,<0
1f34dcb1-2c7b-4ee2-9dac-8bed5195c955,( +++ ),( A ),Haemophilus parainfluenzae,2.43,Haemophilus parainfluenzae,2.36
28fea3a6-df73-41e0-87fc-598e1f8cf8e6,( - ),( C ),no peaks found,<0, no peaks found,<0
32c4315a-82c3-4ae4-9c18-7deede354bb8,( +++ ),( A ),Haemophilus influenzae,2.3,Haemophilus influenzae,2.22
3db60b7c-4852-4738-aca7-6c78c457e061,( + ),( B ),Pseudomonas aeruginosa,1.81,Pseudomonas aeruginosa,1.76
41797cbd-ef47-4153-968e-59a965d24f66,( - ),( C ),no peaks found,<0, no peaks found,<0
432ba733-d2b0-4590-ba14-c44842cf53d7,( +++ ),( A ),MIX!Haemophilus parainfluenzae,2.48,Haemophilus parainfluenzae,2.43
657a9ad5-fded-415a-b60b-13c7e472fcb3,( ++ ),( A ),Corynebacterium bovis,2.15,Corynebacterium bovis,2.12
72b209b5-424a-4e07-b368-7b17aabee8e6,( + ),( B ),Propionibacterium acnes,1.81,Propionibacterium acnes,1.7
755448ec-5d48-4a1e-acae-8ac0fc14938c,( +++ ),( C ),MIX!Haemophilus parainfluenzae,2.57,Haemophilus parainfluenzae,2.52
7e8ad869-7523-4410-834a-8efce66ee469,( ++ ),( B ),Streptococcus oralis,2.06,Streptococcus oralis,2.03
802d932b-56b0-4d4f-8d25-40b7a0596633,( +++ ),( A ),Escherichia coli,2.49,Escherichia coli,2.4
876965c1-2fee-4ec4-a3f4-095cc376e4c6,( +++ ),( A ),Haemophilus parainfluenzae,2.41,Haemophilus parainfluenzae,2.31
8e6e7b4a-7b0a-4e51-b003-46b70ef6d57d,( +++ ),( B ),Klebsiella pneumoniae,2.44,Klebsiella pneumoniae,2.41
94fa1655-53d3-45e6-9a9b-4c8d307002f8,( + ),( B ),Streptococcus constellatus,1.98,Streptococcus constellatus,1.85
9fb04013-b56c-47b8-935f-4af37e2291e2,( +++ ),( A ),Propionibacterium acnes,2.37,Propionibacterium acnes,2.14
9fd69f73-b34b-47c5-9424-f2a076502cec,( +++ ),( A ),Streptococcus pneumoniae,2.3,Streptococcus pneumoniae,2.29
a118a21e-dd69-454b-bbb7-6f56eb5744d3,( +++ ),( A ),Haemophilus parainfluenzae,2.43,Haemophilus parainfluenzae,2.41
a6a1f2d7-3893-44bb-a88f-52cd867721bb,( +++ ),( A ),Moraxella_sg_Branhamella catarrhalis,2.38,Moraxella_sg_Branhamella catarrhalis,2.36
acfb9521-5f72-4c48-8c29-841c5d65e8b4,( ++ ),( B ),Serratia marcescens,2.14,Serratia marcescens,2.12
cf69ca30-f591-427e-b236-051874fe15a9,( +++ ),( B ),Klebsiella pneumoniae,2.42,Klebsiella pneumoniae,2.38
c1727a6a-f92f-440b-b26f-8b1b38c1250d,( + ),( B ),Gardnerella vaginalis,1.82,not reliable identification,1.66
a6bbfcb5-3332-44e5-92e0-480e5f20abf8,( ++ ),( A ),Gardnerella vaginalis,2.1,Gardnerella vaginalis,2.07
f8330144-1d64-427a-93bc-2bb77c26fb82,( +++ ),( C ),MIX!Actinomyces turicensis,2.62,Actinomyces turicensis,2.58
017dc313-bcf7-4c10-a6df-9082df33253c,( +++ ),( B ),Streptococcus dysgalactiae,2.38,Streptococcus dysgalactiae,2.26
1edf413e-76b9-406e-ab3e-e9c9fa593d2d,( ++ ),( B ),Enterobacter asburiae,2.29,Enterobacter asburiae,2.25
2a20dc99-5189-4d20-acf9-dc7a5d63c335,( ++ ),( A ),Streptococcus salivarius_ssp_thermophilus,2.03,Streptococcus salivarius_ssp_thermophilus,2.03
3c3b9520-9820-4199-b2ef-234bfac2a50b,( ++ ),( A ),Streptococcus salivarius_ssp_thermophilus,2.01,Streptococcus salivarius_ssp_thermophilus,1.94
45a780de-88ea-4bcd-aa95-d7e2b7195845,( +++ ),( B ),Streptococcus dysgalactiae,2.44,Streptococcus dysgalactiae,2.33
60a4ad58-39e8-4f8a-b6e3-af284cbdc63b,( + ),( B ),Streptococcus salivarius_ssp_thermophilus,1.96,Streptococcus salivarius_ssp_thermophilus,1.95
659c1c10-c8b6-40ae-9930-5d03aef8864b,( ++ ),( B ),Streptococcus mitis,2.25,Streptococcus oralis,2.24
8216ee0b-5bab-46ff-bd54-100777c3ac24,( ++ ),( A ),Staphylococcus epidermidis,2.18,Staphylococcus epidermidis,2.17
8995e659-b7d6-47dd-adc0-56691f4b3b1b,( + ),( B ),Streptococcus oralis,1.87,Streptococcus mitis,1.87
9d3883c0-3264-4b61-a1bf-8d756727dd10,( ++ ),( A ),Staphylococcus epidermidis,2.16,Staphylococcus epidermidis,2.15
1f9adf3d-81c5-4f0c-a1e7-86acc49f0a3a,( +++ ),( A ),Acinetobacter baumannii,2.51,Acinetobacter baumannii,2.44
5339a72f-a1a4-433d-b220-d0f09e718291,( +++ ),( A ),Staphylococcus aureus,2.38,Staphylococcus aureus,2.37
733c00d3-5476-4654-85ad-bc67bdabf6df,( +++ ),( C ),MIX!Enterococcus faecalis,2.54,Staphylococcus epidermidis,2.54
95f88385-02fc-4134-aaae-59d39fba1997,( +++ ),( A ),Staphylococcus aureus,2.42,Staphylococcus aureus,2.39
b54b5823-42d7-48b9-9a2f-ef6b30ecefee,( +++ ),( A ),Escherichia coli,2.43,Escherichia coli,2.43
b9bc4651-7c1c-42a5-907c-071b144cad1d,( +++ ),( A ),Citrobacter koseri,2.41,Citrobacter koseri,2.4
bbec546a-1080-42c8-8dff-f67c34114eea,( +++ ),( A ),Staphylococcus aureus,2.3,Staphylococcus aureus,2.28
25ae9850-290d-4808-b6ab-ee77b2409e7f,( + ),( B ),Bacillus pumilus,1.81,Bacillus pumilus,1.8
3d9e6394-1ec6-49e3-8ca6-5b2ef7393ca1,( +++ ),( B ),Pseudomonas putida,2.38,Pseudomonas putida,2.35
83e9670d-ce01-41f5-8ce5-bd8310697d96,( +++ ),( A ),Escherichia coli,2.39,Escherichia coli,2.34
9b131e86-6bb2-4f5a-92e0-cb5e62ab2afa,( ++ ),( A ),Streptococcus agalactiae,2.25,Streptococcus agalactiae,2.24
a5d97c2f-f553-4b95-9709-e88c2473cb3c,( ++ ),( A ),Candida glabrata,2.16,Candida glabrata,2.13
e6f016d2-385a-4955-a1fc-7421ba56b5b3,( + ),( B ),Bacillus pumilus,1.86,not reliable identification,1.65
f73e6023-4349-4bab-8aa0-826a2a23e27d,( +++ ),( A ),Staphylococcus aureus,2.51,Staphylococcus aureus,2.47
2264a30c-4ede-454b-821c-13507716f860,( ++ ),( B ),Gardnerella vaginalis,2.24,Gardnerella sp,2.11
3b201db8-055b-4609-b805-3f8ab724a50f,( +++ ),( A ),Gardnerella vaginalis,2.59,Gardnerella vaginalis,2.49
bf1f580f-6724-4409-8404-953f639c919b,( +++ ),( A ),Gardnerella vaginalis,2.49,Gardnerella vaginalis,2.42
d502038f-93be-496a-a50b-213fd6380c17,( +++ ),( A ),Gardnerella vaginalis,2.56,Gardnerella vaginalis,2.51
ff942fa7-9040-4bdd-8d95-359b16630536,( +++ ),( B ),Gardnerella vaginalis,2.34,Gardnerella sp,2.19
2dd52e44-8047-4f54-a5c3-b037c3401619,( ++ ),( C ),Enterobacter cloacae,2.25,Enterobacter cloacae,2.24
343d9e6d-68cc-4c6b-aaf1-690d65669ca5,( +++ ),( B ),Klebsiella pneumoniae,2.47,Klebsiella pneumoniae,2.39
5ed1b2c3-1e08-4f75-a105-dc0d5b5bb88b,( +++ ),( B ),Klebsiella pneumoniae,2.41,Klebsiella pneumoniae,2.4
9fc0ae5b-ab5a-4fb0-b697-dd8961a99143,( +++ ),( B ),Enterobacter cloacae,2.42,Enterobacter cloacae,2.36
c295869b-c0f1-4f8f-973a-d3647a7cfa56,( +++ ),( A ),Klebsiella variicola,2.44,Klebsiella variicola,2.34
d7ae91f5-5e6d-48d2-832c-1f8dfa68ebaa,( +++ ),( B ),Klebsiella pneumoniae,2.47,Klebsiella pneumoniae,2.38
e756e9df-68b4-4d9a-8da2-0ab3e5b75a19,( +++ ),( B ),Klebsiella pneumoniae,2.42,Klebsiella pneumoniae,2.39
f9d54295-9914-4524-ab66-10349707b34d,( +++ ),( B ),Enterobacter cloacae,2.3,Enterobacter cloacae,2.3
fa0755e5-db07-4341-8436-48484f5c5926,( +++ ),( B ),Klebsiella pneumoniae,2.39,Klebsiella pneumoniae,2.36
00df798b-7867-4e57-b0eb-c9c0eb280ac0,( ++ ),( A ),Campylobacter jejuni,2.23,Campylobacter jejuni,2.21
094011ea-4d33-4dee-a5ec-8f86382d346c,( +++ ),( A ),Campylobacter coli,2.33,Campylobacter coli,2.26
135f5aac-d158-4246-816e-734d214b66ed,( ++ ),( A ),Campylobacter jejuni,2.26,Campylobacter jejuni,2.26
239496ab-4aad-43a8-8bf7-ea66cd4c23a2,( +++ ),( A ),Campylobacter jejuni,2.33,Campylobacter jejuni,2.33
2ec4e0ca-1e50-47a3-be6f-06b10a2a3255,( +++ ),( A ),Campylobacter jejuni,2.43,Campylobacter jejuni,2.33
304ac991-6406-4185-aa94-f71905f1d59c,( +++ ),( A ),Campylobacter jejuni,2.41,Campylobacter jejuni,2.32
33ed8182-12ed-4f0e-8984-0711550f5255,( +++ ),( A ),Campylobacter jejuni,2.43,Campylobacter jejuni,2.34
36336c91-11d1-4de5-af3c-856d67f9ea46,( +++ ),( A ),Campylobacter jejuni,2.38,Campylobacter jejuni,2.36
4a7db701-006d-4cca-84ce-c5b6dc6f9d3f,( +++ ),( A ),Campylobacter jejuni,2.37,Campylobacter jejuni,2.28
5423cc4c-b86d-4de7-bfdb-bbb1b1fa7d09,( ++ ),( A ),Campylobacter jejuni,2.19,Campylobacter jejuni,2.12
6c474854-59ec-483b-ab84-e4b2ebeca2be,( +++ ),( A ),Campylobacter jejuni,2.36,Campylobacter jejuni,2.33
6c5e816e-88f3-4b90-b2cb-37764ec99120,( +++ ),( A ),Campylobacter jejuni,2.35,Campylobacter jejuni,2.34
855ee787-bff7-478c-92f6-2c8bc6ce0f1b,( ++ ),( A ),Campylobacter jejuni,2.28,Campylobacter jejuni,2.28
a7d51027-8ea8-4a33-952e-dc2b3675683e,( +++ ),( A ),Campylobacter jejuni,2.4,Campylobacter jejuni,2.35
c8c9e82e-c540-49a0-a91f-17f17f6cef42,( +++ ),( A ),Campylobacter jejuni,2.35,Campylobacter jejuni,2.31
e45336b4-b985-4d04-8033-e48f82a81121,( +++ ),( A ),Campylobacter jejuni,2.38,Campylobacter jejuni,2.37
f05b8977-3028-4fc8-9b16-fd38ce9a2375,( +++ ),( A ),Campylobacter jejuni,2.34,Campylobacter jejuni,2.29
f218f212-71ac-47b8-9467-55b2bd46714b,( +++ ),( A ),Campylobacter jejuni,2.35,Campylobacter jejuni,2.3
3412f39b-ecf1-4dde-8481-743ac409bb1a,( ++ ),( A ),Staphylococcus epidermidis,2.03,Staphylococcus epidermidis,2.02
af8373f4-eb4a-4cc3-8ad6-fd0e8b997c1b,( ++ ),( A ),Staphylococcus epidermidis,2.16,Staphylococcus epidermidis,2.08
425bd4bb-bb6a-472a-be0b-7b370ff5ca01,( - ),( C ),not reliable identification,1.45,not reliable identification,1.45
cb585942-25b6-46b5-b178-a0ba800c07f3,( + ),( B ),Staphylococcus haemolyticus,1.95,Staphylococcus haemolyticus,1.82
0060d4b3-dea5-478c-8594-df09abfe97bd,( ++ ),( A ),Staphylococcus haemolyticus,2.28,Staphylococcus haemolyticus,2.13
04fd7414-e323-4301-ba6e-0ba1a90c1d51,( +++ ),( A ),Pseudomonas aeruginosa,2.42,Pseudomonas aeruginosa,2.36
0a30e628-2e9b-4ccd-b20b-1c1503a82ada,( +++ ),( A ),MIX!Bacillus cereus,2.41,Bacillus cereus,2.38
17ef181f-288c-4511-99f1-07d7472cecca,( +++ ),( A ),Bacillus cereus,2.31,Bacillus cereus,2.25
1a59b5be-4f72-483a-a989-25319fb48318,( +++ ),( A ),Staphylococcus capitis,2.31,Staphylococcus capitis,2.24
3aca91be-4552-4900-810f-d2e57af67926,( ++ ),( A ),Staphylococcus epidermidis,2.07,Staphylococcus epidermidis,2.03
5a4b3205-a7d5-4b91-bfae-fa3ab9a64500,( +++ ),( A ),Enterococcus faecalis,2.44,Enterococcus faecalis,2.37
6752ac8b-738f-4e0a-9c95-c6d47bdc3ea5,( - ),( C ),no peaks found,<0, no peaks found,<0
6eafb9d8-00fb-46c9-b75a-f98fb38019b1,( ++ ),( B ),Streptococcus dysgalactiae,2.26,Streptococcus canis,2.22
8358d281-be00-4e03-8058-412c3e201183,( +++ ),( A ),Enterococcus faecalis,2.43,Enterococcus faecalis,2.4
915e4561-1492-41f8-90e7-b8cb39b8b691,( ++ ),( B ),Bacillus cereus,2.22,Bacillus cereus,2.18
b0747b88-328e-4753-9d45-7cbc4911eca7,( ++ ),( A ),Staphylococcus lugdunensis,2.24,Staphylococcus lugdunensis,2.17
b2a22db0-94d7-4291-80af-4f281e405607,( + ),( C ),Klebsiella oxytoca,1.9,Raoultella ornithinolytica,1.86
bdbb65ae-ba18-4d6d-a799-bd5d57342f45,( ++ ),( A ),Actinomyces odontolyticus,2.18,Actinomyces odontolyticus,2.15
c794d228-81fa-4386-ab2b-7d9e2e4021a9,( ++ ),( A ),Actinomyces odontolyticus,2.07,Actinomyces odontolyticus,2.03
d546375a-f317-46c6-85e1-eb9fa7a98fe8,( ++ ),( A ),Staphylococcus haemolyticus,2.17,Staphylococcus haemolyticus,2.06
e647fb44-28f1-4822-900f-cff09ec057a1,( +++ ),( A ),MIX!Staphylococcus lugdunensis,2.5,Staphylococcus lugdunensis,2.41
37d8ba4a-b42b-471e-b9d3-aff62d7d5d32,( +++ ),( A ),Streptococcus agalactiae,2.33,Streptococcus agalactiae,2.29
7963143b-2979-4d60-94d2-791f62468c9f,( +++ ),( A ),Gardnerella vaginalis,2.44,Gardnerella vaginalis,2.37
93b1474d-4884-4c37-832c-9fa6e531123f,( +++ ),( A ),Streptococcus agalactiae,2.33,Streptococcus agalactiae,2.25
c1d99dd5-5edb-4d44-950b-847c30e2da61,( +++ ),( A ),Staphylococcus aureus,2.48,Staphylococcus aureus,2.46
f292770c-8ef1-4dd1-b685-8b12d833dc59,( ++ ),( A ),Staphylococcus haemolyticus,2.23,Staphylococcus haemolyticus,2.07
f6e0c228-8449-48fd-b9c8-671f43a01914,( +++ ),( A ),Gardnerella vaginalis,2.37,Gardnerella vaginalis,2.32
ffd22cac-e6d2-423c-998a-bb1fee6369a2,( +++ ),( A ),Staphylococcus aureus,2.39,Staphylococcus aureus,2.39
de3bbc56-4987-4ce9-b698-7c83bd62c365,( + ),( B ),Staphylococcus cohnii,1.81,Staphylococcus cohnii,1.74
1141bb4c-a19d-4e81-9067-64c3662dd3c1,( +++ ),( A ),Corynebacterium freneyi,2.33,Corynebacterium freneyi,2.32
2164aa2c-1caa-4009-bf7a-8d1f583e75a5,( ++ ),( A ),Corynebacterium afermentans,2.22,Corynebacterium afermentans,1.95
23666b9b-d628-46e2-94b4-e1b14739fd9a,( ++ ),( A ),Acinetobacter radioresistens,2.24,Acinetobacter radioresistens,2.11
25a2c1ce-bcb3-4d37-b4b8-3598e72abb97,( ++ ),( A ),Staphylococcus epidermidis,2.22,Staphylococcus epidermidis,2.2
2ede1771-b582-47eb-bfe0-3e19f6d10c01,( +++ ),( A ),Morganella morganii,2.41,Morganella morganii,2.39
356c0cd1-38d7-4bba-8f4b-df2619f94cea,( ++ ),( B ),Klebsiella variicola,2.23,Klebsiella variicola,2.18
439bd271-247b-4118-89fe-7c8f3697189e,( ++ ),( B ),Streptococcus dysgalactiae,2.14,Streptococcus dysgalactiae,2.09
4df81276-169c-4f44-908f-2d75e14549a5,( +++ ),( A ),Proteus mirabilis,2.41,Proteus mirabilis,2.36
52781349-5676-48fe-a6f7-b8606fb51e3f,( ++ ),( B ),Streptococcus dysgalactiae,2.27,Streptococcus dysgalactiae,2.21
62c513e2-5395-46f3-811b-4b8930345d0b,( +++ ),( A ),Pseudomonas aeruginosa,2.39,Pseudomonas aeruginosa,2.37
6de06001-779e-497f-ac45-be236c78fbf8,( + ),( B ),Staphylococcus warneri,1.85,Staphylococcus warneri,1.82
6f8f280f-9861-4df1-9519-d29c82120a96,( +++ ),( A ),Escherichia coli,2.33,Escherichia coli,2.31
7513a1c2-9db4-4d19-aa79-694014076130,( +++ ),( A ),Oligella urethralis,2.38,Oligella urethralis,2.32
75db31bc-f91a-409d-85fb-b116b3b8921f,( +++ ),( A ),Escherichia coli,2.5,Escherichia coli,2.41
75e5a748-b294-4291-88dc-11b8ddedde50,( ++ ),( A ),Corynebacterium amycolatum,2.28,Corynebacterium amycolatum,2.2
777144b4-7e33-4e4b-8e09-7c39df526870,( ++ ),( A ),Streptococcus constellatus,2.22,Streptococcus constellatus,2.11
939ce649-5412-46b8-9144-5ecd427b45b7,( +++ ),( A ),MIX!Pseudomonas aeruginosa,2.57,Pseudomonas aeruginosa,2.37
95689a7a-edaa-439a-92ba-594655eb7244,( +++ ),( A ),Corynebacterium freneyi,2.52,Corynebacterium freneyi,2.41
96ad0da6-c9a0-40f6-bd9f-82332c2bdbc7,( +++ ),( A ),Oligella urethralis,2.49,Oligella urethralis,2.4
a008659e-37bf-4b1a-ad99-a413cc17b5bf,( +++ ),( A ),Actinomyces neuii,2.32,Actinomyces neuii,2.23
c611a9fc-17f5-4f41-a006-9f62aa7db305,( +++ ),( A ),Dermabacter hominis,2.3,Dermabacter hominis,2.18
c8d329ab-dc71-4f89-9924-8a0aa1179035,( +++ ),( A ),Proteus mirabilis,2.52,Proteus mirabilis,2.41
d4196dda-cfac-46b9-93b2-b4ea07210b3a,( ++ ),( B ),Streptococcus dysgalactiae,2.22,Streptococcus dysgalactiae,2.22
edd71bf6-95b2-434b-8900-2b18459f62e1,( ++ ),( A ),Actinomyces neuii,2.25,Actinomyces neuii,2.23
f96ddaa2-c681-4e81-8d79-ee97fdc3b5ff,( - ),( C ),not reliable identification,1.57,not reliable identification,1.54
fa2be589-4f4d-4c00-852c-12b47a1ef7e9,( +++ ),( A ),Pseudomonas aeruginosa,2.41,Pseudomonas aeruginosa,2.36
fb9bb4ad-f240-4e6d-a564-a31dd6c28537,( +++ ),( A ),Pseudomonas aeruginosa,2.45,Pseudomonas aeruginosa,2.33
07e14597-3dd3-4ce2-a8c3-87d39d718b0d,( ++ ),( A ),Saccharomyces cerevisiae,2.19,Saccharomyces cerevisiae,2.01
08800527-9fc5-42e0-a29b-196ae84fc5aa,( ++ ),( A ),Candida pseudohaemulonii,2.01,Candida pseudohaemulonii,1.93
214df79a-5cf3-4343-8cb4-c642d4cb175a,( ++ ),( A ),Candida pseudohaemulonii,2.05,Candida pseudohaemulonii,1.97
39a3ecfd-8370-4be5-a079-874fb5c67ab8,( - ),( C ),not reliable identification,1.22,not reliable identification,1.16
61992a31-588a-4bce-ba7d-cbe5e68a4392,( ++ ),( A ),Candida pseudohaemulonii,2,Candida pseudohaemulonii,1.97
7b47e193-3f64-448c-8a24-562e478b7102,( ++ ),( A ),Candida pseudohaemulonii,2.07,Candida pseudohaemulonii,2.01
84a19fea-39b7-4b04-8715-5b806ba57f7c,( - ),( C ),not reliable identification,1.44,not reliable identification,1.31
8af22d49-1236-4b4d-9d6a-0e170c737c89,( - ),( C ),not reliable identification,1.17,not reliable identification,1.14
b9f552c7-bb5e-42d1-86d5-0504624474ef,( - ),( C ),not reliable identification,1.28,not reliable identification,1.18
bd712378-93f4-4b72-b863-501db84bb3f3,( - ),( C ),not reliable identification,1.32,not reliable identification,1.2
bfb5bc22-dd60-44f2-8323-515e9808f620,( - ),( C ),not reliable identification,1.43,not reliable identification,1.37
d95a995e-8968-4c7a-b7c1-008cde79b36b,( ++ ),( A ),Saccharomyces cerevisiae,2.09,Saccharomyces cerevisiae,1.72
dc075b59-b82d-44f0-9acd-07eea8e496c4,( ++ ),( A ),Saccharomyces cerevisiae,2.27,Saccharomyces cerevisiae,1.88
ddf07bfd-777b-4b33-965f-d66bb89a11c3,( ++ ),( A ),Saccharomyces cerevisiae,2.12,Saccharomyces cerevisiae,1.72
e4517abb-e192-410b-8682-62d161c6273b,( - ),( C ),not reliable identification,1.27,not reliable identification,1.24
ed09a69e-54e9-45ab-890b-b18fe651e249,( - ),( C ),not reliable identification,1.35,not reliable identification,1.26
f2480441-474b-4de6-b4b0-ac50dabf7ec8,( - ),( C ),not reliable identification,1.41,not reliable identification,1.37
f2ff3fde-763d-4ac5-a5ed-0f6d386af070,( - ),( C ),not reliable identification,1.35,not reliable identification,1.23
f3ab5e93-de6c-496f-8a02-14772864ec77,( - ),( C ),not reliable identification,1.33,not reliable identification,1.32
f46b6bc1-157c-4894-b99b-695d4131f4af,( - ),( C ),not reliable identification,1.23,not reliable identification,1.2
00c924ae-0ccf-4b1b-8004-9d0ae94d3ebc,( ++ ),( A ),Staphylococcus hominis,2.27,Staphylococcus hominis,2.18
2b1da2dc-2b25-494b-9f1a-e732e9094155,( ++ ),( B ),Streptococcus pneumoniae,2.29,Streptococcus pneumoniae,2.26
6be8e91b-08a1-47ca-aecd-63a25f6f2be3,( +++ ),( A ),Escherichia coli,2.33,Escherichia coli,2.23
b2c6b8f6-e625-415e-9110-ec9671cf0b99,( ++ ),( A ),Staphylococcus hominis,2.27,Staphylococcus hominis,2.22
b9495433-e9d2-4c64-9b7e-2203d2850b0f,( +++ ),( A ),Escherichia coli,2.37,Escherichia coli,2.2
c94a4894-f63a-419c-b465-da2bd11ecb40,( +++ ),( B ),Streptococcus pneumoniae,2.31,Streptococcus pneumoniae,2.21
d023afdf-944d-4281-9664-408550c2f3cb,( +++ ),( A ),Escherichia coli,2.34,Escherichia coli,2.29
dd0b3a88-d2b5-428f-9f09-ecb0f22f9753,( +++ ),( A ),Escherichia coli,2.31,Escherichia coli,2.27
006ebbe4-8100-4c49-ae0b-792bc4acb684,( +++ ),( A ),Morganella morganii,2.32,Morganella morganii,2.27
399b6823-9afa-4096-a8ae-1178140ec742,( +++ ),( A ),Escherichia coli,2.32,Escherichia coli,2.32
43cf89ec-4443-42e7-9bfd-379f771b9307,( +++ ),( B ),Klebsiella pneumoniae,2.46,Klebsiella pneumoniae,2.42
671ac8dc-1d90-41d5-b338-9d384cd5591e,( +++ ),( B ),Klebsiella pneumoniae,2.52,Klebsiella pneumoniae,2.41
9c1a2ae2-687d-4a01-be85-c4f834d82fc9,( +++ ),( A ),Escherichia coli,2.34,Escherichia coli,2.27
ba189832-fa59-4420-a643-7915fc0eeee2,( +++ ),( B ),Klebsiella pneumoniae,2.48,Klebsiella pneumoniae,2.39
e2bec505-af0f-43ae-b0ae-0212284b351b,( +++ ),( B ),Klebsiella pneumoniae,2.48,Klebsiella pneumoniae,2.44
011ae19c-7a04-40af-b164-76f6725dcfea,( ++ ),( A ),Lactobacillus rhamnosus,2.02,Lactobacillus rhamnosus,2
0717ee7c-aa94-4598-95b6-f0128e9ec6ac,( +++ ),( A ),Streptococcus agalactiae,2.34,Streptococcus agalactiae,2.32
12f73f47-99e4-4fe8-9929-946b6d294bf0,( + ),( B ),Lactobacillus salivarius,1.98,Lactobacillus salivarius,1.89
14d9f501-c40e-4024-8578-27bfc47038d8,( ++ ),( A ),Aerococcus viridans,2.25,Aerococcus viridans,2.09
1dfd0bd3-c814-40e0-aa11-64fdb4ef6d05,( - ),( C ),not reliable identification,1.4,not reliable identification,1.34
26596029-cb73-40a3-905f-1fde5535741e,( - ),( C ),not reliable identification,1.65,not reliable identification,1.57
273049d3-fe3b-42c4-b333-c2788a3657ba,( +++ ),( A ),Staphylococcus aureus,2.3,Staphylococcus aureus,2.28
3127cbc1-e5ec-4eb0-ab4e-ba1ff750ac34,( ++ ),( A ),Staphylococcus hominis,2.29,Staphylococcus hominis,2.27
35391b3d-ff5a-4ab9-96fc-9d8854c60225,( - ),( C ),no peaks found,<0, no peaks found,<0
40646c38-9bb1-43f3-a76d-0abfa95fc29a,( - ),( C ),not reliable identification,1.64,not reliable identification,1.45
433af53e-fcb7-4d0c-ae57-c4d8114d8c6d,( +++ ),( A ),Staphylococcus aureus,2.48,Staphylococcus aureus,2.44
4432c046-0461-44fd-825e-cf0cef9c5fa6,( +++ ),( A ),Enterococcus faecium,2.45,Enterococcus faecium,2.39
4807e291-f07b-4d37-a71b-ee4e7d8fb2ef,( ++ ),( A ),Lactobacillus rhamnosus,2.23,Lactobacillus rhamnosus,2.16
4de621cf-d2f8-4a51-8396-58c71b817454,( ++ ),( A ),Lactobacillus rhamnosus,2.27,Lactobacillus rhamnosus,2.25
5df89c34-29fc-41e5-9153-ec442c8815f9,( +++ ),( A ),Escherichia coli,2.4,Escherichia coli,2.38
