3cfdbdc6-cc33-4190-b283-a33892ac5a34;( +++ );( A );Alloscardovia omnicolens;2.44;Alloscardovia omnicolens;2.43;
7c521b01-3bae-4ea1-b656-7f4258dffa41;( ++ );( A );Acinetobacter ursingii;2.15;Acinetobacter ursingii;2.15;
7f6a219a-9803-45c3-aeb8-37a30ac49d25;( ++ );( A );Staphylococcus epidermidis;2.15;Staphylococcus epidermidis;2.15;
85bcae10-63d9-4fda-b38c-aaf681c2d7b7;( +++ );( A );Enterococcus faecium;2.53;Enterococcus faecium;2.4;
881c20d9-1af6-4dbf-a63e-a34b358eb0a6;( +++ );( A );Staphylococcus aureus;2.4;Staphylococcus aureus;2.35;
89bbcf42-b773-4ab1-8096-9d5b4b60572e;( ++ );( A );MIX!Haemophilus parainfluenzae;2.29;Haemophilus parainfluenzae;2.24;
8bf15b27-41c4-4256-8128-1028a927bc38;( +++ );( A );Streptococcus intermedius;2.41;Streptococcus intermedius;2.4;
9079491b-eba3-47d0-8c29-50e498e7a991;( + );( B );Staphylococcus haemolyticus;1.99;Staphylococcus epidermidis;1.86;
92db366f-57df-4c5f-86bd-58f2942b0bd5;( ++ );( A );Enterobacter cloacae;2.26;Enterobacter cloacae;2.15;
a2187b93-21f8-4966-b26c-bd668454121f;( ++ );( A );MIX!Chryseobacterium indologenes;2.08;Chryseobacterium indologenes;2.04;
a6a3d7ca-7ded-49b3-8ca0-23b4dc7f22f6;( ++ );( A );Staphylococcus epidermidis;2.09;Staphylococcus epidermidis;2.06;
d28e5eac-ab8d-48e7-8cbb-aa660d569fe8;( +++ );( A );Streptococcus pyogenes;2.4;Streptococcus pyogenes;2.34;
d67f88c1-1469-4383-9859-742b14071568;( ++ );( B );Citrobacter freundii;2.19;Citrobacter freundii;2.16;
d6e03dba-3e85-4124-9e74-ad5766415ac6;( +++ );( A );Acinetobacter ursingii;2.35;Acinetobacter ursingii;2.17;
e4542ceb-58ed-4bd7-a23e-ee3a9fecaac5;( +++ );( A );Haemophilus influenzae;2.65;Haemophilus influenzae;2.43;
eb0e349f-e6c9-4aef-af76-8b5c2a1d783a;( ++ );( C );Klebsiella oxytoca;2.13;Klebsiella oxytoca;2.1;
edca0194-bed7-4395-b42e-35efa49777ea;( ++ );( A );Acinetobacter ursingii;2.11;Acinetobacter ursingii;2.06;
03d33985-aa95-4320-9895-facf001f0635;( - );( C );not reliable identification;1.36;not reliable identification;1.32;
148875bc-d71e-4d30-bfb3-89cb04fa17ec;( - );( C );no peaks found;< 0;no peaks found;< 0;
36e0c3a7-f092-4945-a14c-7a9570098d63;( - );( C );no peaks found;< 0;no peaks found;< 0;
686661bd-af70-419a-b467-ebaa8a69a1c0;( - );( C );no peaks found;< 0;no peaks found;< 0;
7bbc4ff5-b44d-48a3-8407-131de9065c06;( - );( C );no peaks found;< 0;no peaks found;< 0;
8dd7618f-23db-454d-8bd9-d7fbc671fb54;( - );( C );no peaks found;< 0;no peaks found;< 0;
c25af006-72b5-4d29-87ad-3fa3c74eafcb;( + );( B );Bacillus simplex;1.7;not reliable identification;1.6;
cf818d4a-9631-4550-9713-1d6a378f1734;( ++ );( A );Staphylococcus aureus;2.2;Staphylococcus aureus;2.19;
d417c520-3258-46b7-825f-125811a0954c;( +++ );( A );Proteus mirabilis;2.48;Proteus mirabilis;2.37;
d7ecd976-a35b-4e32-9cac-d04159916311;( - );( C );no peaks found;< 0;no peaks found;< 0;
d9e9a489-9965-4cce-ac4c-9200af960d65;( - );( C );no peaks found;< 0;no peaks found;< 0;
2741c2f1-6f73-4ac5-8e1b-eff86440e76f;( ++ );( A );Gardnerella vaginalis;2.26;Gardnerella vaginalis;2.21;
2f81f05b-cbcd-4546-924e-b3dc6031ff66;( +++ );( A );Gardnerella vaginalis;2.59;Gardnerella vaginalis;2.55;
5d43ffdf-7750-41b5-9cd1-cd8175489ef5;( +++ );( A );Escherichia coli;2.57;Escherichia coli;2.56;
78e9e232-035c-4071-8ef6-0f1e48746de2;( + );( B );Saccharomyces cerevisiae;1.82;Saccharomyces cerevisiae;1.78;
87598e0a-ba7f-4ea8-9e6b-9ec990f3ab49;( ++ );( B );Propionibacterium avidum;2.09;Propionibacterium avidum;2.08;
8a247f68-edf4-4c9d-b8e6-8b6bf9719052;( +++ );( A );Escherichia coli;2.37;Escherichia coli;2.37;
d0975748-6aff-40c4-a162-dd44968e07c7;( + );( B );Pseudomonas monteilii;1.99;Pseudomonas putida;1.88;
e2359090-1d2d-4f34-8f34-d6b2d61527ad;( + );( B );Candida albicans;1.75;Candida albicans;1.72;
600f45f9-95dc-4e20-ac65-8212a80405b8;( +++ );( A );Corynebacterium argentoratense;2.32;Corynebacterium argentoratense;2.28;
ad02ba46-478b-4fad-84c4-9f896e05bf1f;( +++ );( A );MIX!Corynebacterium tuberculostearicum;2.41;Corynebacterium tuberculostearicum;2.09;
d2f9337a-cd34-486c-81a0-fb5ef4a8d993;( + );( B );Staphylococcus auricularis;1.77;not reliable identification;1.51;
eff2003b-938c-4d26-869e-ddd0a63f4111;( +++ );( A );Corynebacterium argentoratense;2.42;Corynebacterium argentoratense;2.37;
0f223d19-5bfd-4bcc-a33a-787ef8273614;( - );( C );not reliable identification;1.33;not reliable identification;1.33;
43b4b662-206f-4426-81db-0356d84a97ad;( - );( C );not reliable identification;1.38;not reliable identification;1.29;
821baf1c-bdb4-4805-bd46-1ec813602a9f;( - );( C );not reliable identification;1.45;not reliable identification;1.27;
86b39d3b-d1cb-46c6-b700-c159cad6c4b1;( ++ );( A );Lactobacillus jensenii;2.05;Lactobacillus jensenii;1.91;
a984acdf-54f0-45b3-a27f-b98ca776e226;( + );( B );Candida glabrata;1.83;not reliable identification;1.67;
aef42099-5d4b-497d-bf2b-d20e2280ef46;( - );( C );not reliable identification;1.31;not reliable identification;1.31;
b438f078-a85e-416b-9482-03f7ad1b3636;( - );( C );not reliable identification;1.23;not reliable identification;1.23;
01f60433-bf40-42dd-92e8-d96a7b82e42e;( ++ );( A );Streptococcus infantis;2.14;Streptococcus pneumoniae;1.99;
0866797d-3858-4784-a300-8424d0c515db;( - );( C );not reliable identification;1.42;not reliable identification;1.34;
1463987f-9119-4b4b-9f8c-aa1f8d17e8f3;( + );( B );Streptococcus mitis;1.9;Streptococcus oralis;1.89;
20401946-1cce-49ab-84c9-e446a5f4965a;( ++ );( A );Staphylococcus epidermidis;2.1;Staphylococcus epidermidis;2.03;
24930617-2aa6-4426-8f41-0afbaef2b77c;( +++ );( B );Neisseria subflava;2.41;Neisseria subflava;2.31;
5a6d15bc-66cb-4815-a207-edd8fa9a44ae;( +++ );( B );Streptococcus mitis;2.35;Streptococcus oralis;2.24;
7e21614a-68b4-475f-a394-33d46b3df6f5;( + );( B );Staphylococcus epidermidis;1.99;Staphylococcus epidermidis;1.97;
8e31f337-8711-46af-ac99-91f9ddfea22c;( +++ );( A );Streptococcus intermedius;2.36;Streptococcus intermedius;2.25;
994fed22-9b71-4d36-a2ad-3f03a8ec761d;( ++ );( A );Staphylococcus epidermidis;2.07;Staphylococcus epidermidis;1.87;
ad50fa60-0a00-4132-8bb2-bae361684329;( +++ );( B );Streptococcus salivarius;2.37;Streptococcus salivarius;2.35;
b3f239a0-c23f-4aa9-b707-b08206ed0842;( - );( C );not reliable identification;1.28;not reliable identification;1.23;
d3ac22fb-0207-499e-bb5b-2835238b7b14;( ++ );( A );Staphylococcus epidermidis;2.01;Staphylococcus epidermidis;1.97;
d59e8a6d-cd0e-45df-af13-f4ccd26b8730;( ++ );( A );Haemophilus parainfluenzae;2.21;Haemophilus parainfluenzae;2.1;
ed9385c1-e480-41ec-9b41-9dc5fbead27d;( ++ );( A );Staphylococcus epidermidis;2.06;Staphylococcus epidermidis;2;
fc23597a-fe3e-40a3-8961-aab1149a5060;( ++ );( A );Staphylococcus epidermidis;2.19;Staphylococcus epidermidis;2.15;
2b72cdfc-777b-4462-8bd4-4e8cb9d6e580;( +++ );( B );Klebsiella pneumoniae;2.45;Klebsiella pneumoniae;2.42;
326991a6-e0f6-48d1-bb11-efe2aa9b788b;( +++ );( B );MIX!Neisseria subflava;2.42;Neisseria subflava;2.38;
482dd6eb-0e11-435b-b7ce-d4ffcae875e3;( +++ );( A );Haemophilus parainfluenzae;2.32;Haemophilus parainfluenzae;2.3;
616e74dc-de73-4be1-bed7-39b120277241;( ++ );( A );Haemophilus parainfluenzae;2.22;Haemophilus parainfluenzae;2.21;
6c2c6837-574b-43f9-89e3-7e61d1e8c457;( +++ );( B );Streptococcus mitis;2.36;Streptococcus mitis;2.15;
c0d70a23-9ec2-43b3-bb26-32e82eced311;( ++ );( A );Streptococcus anginosus;2.05;Streptococcus anginosus;2.03;
da5c861b-5db1-4c98-8662-c172ee6cc1b4;( +++ );( A );Corynebacterium striatum;2.39;Corynebacterium striatum;2.36;
ddfdf25f-0d3c-4400-9466-e5271cd5d85b;( - );( C );no peaks found;< 0;no peaks found;< 0;
de75ed67-ce17-4964-bc19-8e2b4636bc56;( +++ );( A );Escherichia coli;2.44;Escherichia coli;2.37;
e83d8c6f-aa56-48cb-a848-34d0c1a3b22d;( ++ );( B );Streptococcus mitis;2.25;Streptococcus mitis;2.24;
eaff3df5-6b77-489e-91b9-7eff14811067;( +++ );( A );Haemophilus influenzae;2.42;Haemophilus influenzae;2.35;
fac4e959-5857-4b96-bcd4-6e23167429fc;( ++ );( A );Pseudomonas aeruginosa;2.27;Pseudomonas aeruginosa;2.26;
2192d813-7b96-4150-bc4a-8feac8ba006f;( + );( B );Streptococcus oralis;1.78;Streptococcus peroris;1.73;
041e0781-1d0a-4e0b-aa89-ec378e192ded;( +++ );( A );Escherichia coli;2.43;Escherichia coli;2.36;
0f64e066-9db9-4fd3-9f20-68c7b5b81ebe;( ++ );( A );Staphylococcus epidermidis;2.1;Staphylococcus epidermidis;2.03;
39cb882f-11f4-4442-bfc7-e4709cde4c74;( - );( C );no peaks found;< 0;no peaks found;< 0;
3d771ae5-ed55-4ca1-b491-e34a026c47ae;( - );( C );no peaks found;< 0;no peaks found;< 0;
50548ea6-8e76-4eb3-b7e0-4d08081fc839;( ++ );( A );Staphylococcus epidermidis;2.05;Staphylococcus epidermidis;1.82;
514ac923-5792-4c73-8125-b92ab6a379ce;( ++ );( B );Streptococcus vestibularis;2.29;Streptococcus salivarius;2.26;
57e00b8e-a576-45ba-8483-06899208a1e6;( +++ );( B );Klebsiella pneumoniae;2.31;Klebsiella pneumoniae;2.3;
749fa4cc-2a6c-4382-9fb5-04245c238157;( ++ );( A );Gardnerella vaginalis;2.29;Gardnerella vaginalis;2.28;
85365e30-cd58-46b7-b45e-11579d4b9ffc;( +++ );( A );Escherichia coli;2.31;Escherichia coli;2.27;
9d05fcd3-bdd8-4f7e-aadb-11b21335dc83;( +++ );( A );Lactobacillus iners;2.31;not reliable identification;1.41;
a46dd1df-7c75-4274-93aa-60632c11b225;( ++ );( A );Lactobacillus crispatus;2.19;Lactobacillus crispatus;1.88;
b304c0d3-9f53-473f-8bf2-d4208324d64d;( +++ );( C );MIX!Lactobacillus iners;2.57;Lactobacillus iners;2.45;
c25d7ac9-700b-43c4-b469-f0cc7b77ef78;( +++ );( A );Candida glabrata;2.3;Candida glabrata;2.11;
c5bb92ff-df28-4683-b858-5f83bd583491;( ++ );( A );Gardnerella vaginalis;2.16;Gardnerella vaginalis;2.14;
cb3a533a-0505-4689-ab3e-024b13d0ea15;( +++ );( A );Lactobacillus rhamnosus;2.35;Lactobacillus rhamnosus;2.33;
cebba4ec-1366-41dc-a7f0-3a33da7dfb85;( ++ );( A );Gardnerella vaginalis;2.14;Gardnerella vaginalis;2.1;
e2dd0911-6192-4248-8c1b-8d8861ac9058;( ++ );( B );Gardnerella vaginalis;2.29;Gardnerella sp;2.16;
fc347ae2-ad1d-4100-9eb3-ec378c8e287d;( ++ );( A );Gardnerella vaginalis;2.28;Gardnerella vaginalis;2.27;
8cb74a4b-e889-4f91-b463-e66d941bcce4;( - );( C );not reliable identification;1.42;not reliable identification;1.36;
ec9e55d5-9970-4270-a3e9-477fda3988bb;( ++ );( A );Corynebacterium tuscaniense;2.12;not reliable identification;1.37;
0966afac-3119-43a7-b701-b0297059022a;( +++ );( A );Gardnerella vaginalis;2.45;Gardnerella vaginalis;2.43;
0e235d18-a5f6-4ad0-9657-00dbc7ad0fd7;( + );( B );Bifidobacterium breve;1.95;Bifidobacterium breve;1.95;
4e4f0562-8666-4095-88df-fbb6293155f2;( ++ );( A );Streptococcus agalactiae;2.26;Streptococcus agalactiae;2.26;
4eb7f77c-8388-4791-a22b-9f61c5ea1cbd;( - );( C );not reliable identification;1.63;not reliable identification;1.33;
589605cd-4854-400e-b0b6-7969fe65e8fe;( ++ );( A );Gardnerella vaginalis;2.26;Gardnerella vaginalis;2.25;
6727f5b1-43a0-44f6-ab18-c48f2e50e33f;( ++ );( A );Candida krusei;2.26;Candida krusei;2.19;
683ae62e-5a48-4141-b618-7d8073e89405;( +++ );( B );Gardnerella vaginalis;2.34;Gardnerella sp;2.02;
7aa0c7a1-3a5d-4c97-a764-891d734b1713;( +++ );( B );Gardnerella vaginalis;2.3;Gardnerella sp;2.22;
8188df83-13fa-4bb0-babf-a3f19c558fc6;( ++ );( A );Candida albicans;2.04;Candida albicans;2.02;
8f6c4a52-dcc4-4dfe-8799-b6f4a23d4a5b;( +++ );( A );Streptococcus agalactiae;2.42;Streptococcus agalactiae;2.42;
a87de377-21d7-4732-bde9-510760c3d41f;( +++ );( A );Streptococcus agalactiae;2.32;Streptococcus agalactiae;2.3;
c8e05972-3797-49b6-9571-617ffd8f3fa0;( +++ );( A );Enterococcus faecalis;2.43;Enterococcus faecalis;2.38;
ddcd4c38-acde-4435-a476-c7856daa4198;( + );( B );Gardnerella sp;1.82;Gardnerella vaginalis;1.73;
f47e2b12-2562-42dd-a5a5-27d5807f7610;( ++ );( B );Candida albicans;2.22;Candida albicans;2.18;
16ef81d7-e3ff-4d40-8752-26a1b419f949;( +++ );( A );Staphylococcus aureus;2.41;Staphylococcus aureus;2.34;
38577ad7-d213-4a37-a8a1-f030e98a185c;( +++ );( B );Salmonella spp;2.3;Salmonella newington;2.22;
5ee6ca53-0a6e-4ef1-866f-0f21a13c7749;( + );( B );Candida albicans;1.81;not reliable identification;1.68;
7329f906-d659-44eb-a86c-ac1612fc19b5;( ++ );( A );Candida dubliniensis;2.02;Candida dubliniensis;1.99;
7fc4b335-71dc-4f83-b274-b37d080ceca2;( +++ );( A );Staphylococcus aureus;2.33;Staphylococcus aureus;2.25;
9fbae26a-06f9-47c0-b926-dfc8d376f915;( +++ );( A );Morganella morganii;2.47;Morganella morganii;2.41;
a619ae49-c49f-4246-9b03-e6192a594292;( ++ );( A );Providencia alcalifaciens;2.25;Providencia alcalifaciens;2.22;
cab0ff60-fcad-40ce-823d-3446589908a4;( + );( B );Pseudomonas monteilii;1.73;Pseudomonas putida;1.73;
ed3af39f-c75d-43ec-95cf-3d72662ac5de;( +++ );( A );Proteus mirabilis;2.44;Proteus mirabilis;2.28;
052b7be0-7a91-4252-bdfb-9cc0563051de;( ++ );( A );Finegoldia magna;2.19;Finegoldia magna;2.02;
0fd5a579-b816-4397-a47a-28de0212ceaa;( +++ );( A );Staphylococcus lugdunensis;2.32;Staphylococcus lugdunensis;2.26;
28a5f07d-0050-4827-8fe5-d01005be91a7;( + );( B );Staphylococcus epidermidis;1.96;Staphylococcus epidermidis;1.91;
2b08cf7d-ef43-4247-9b80-06fb43bad65c;( +++ );( A );Propionibacterium acnes;2.53;Propionibacterium acnes;2.33;
364737cf-924d-420f-9ca3-b7a154185402;( ++ );( A );Campylobacter ureolyticus;2.18;Campylobacter ureolyticus;1.92;
431a97d2-7758-4efd-a4cd-e9d23df990da;( +++ );( A );Staphylococcus aureus;2.35;Staphylococcus aureus;2.33;
4aec7420-b7f1-467f-88c7-e3941bc3b8ab;( + );( B );Corynebacterium kroppenstedtii;1.86;Corynebacterium kroppenstedtii;1.85;
680794d5-3da1-4d37-bbe6-a34cd7362236;( ++ );( A );Streptococcus gordonii;2.06;Streptococcus gordonii;1.91;
8826692b-47c7-47ad-8c50-aa73ee3dacf3;( - );( C );not reliable identification;1.61;not reliable identification;1.37;
905ae086-78b9-431c-bb80-1699aaf9be73;( - );( C );not reliable identification;1.39;not reliable identification;1.3;
bbf320ed-ae21-4e39-8fc6-e8f874e7833e;( +++ );( A );Fusobacterium nucleatum;2.33;Fusobacterium nucleatum;2.15;
c6febb9f-7e3c-4434-9698-0ff6c8cda956;( ++ );( A );Finegoldia magna;2.23;Finegoldia magna;2.08;
c734ae30-82ae-4fe9-87a9-34db84bd8781;( +++ );( A );Propionibacterium acnes;2.38;Propionibacterium acnes;2.35;
cb963b53-2a02-4c64-9670-f42aef033a4c;( ++ );( B );Propionibacterium avidum;2.27;Propionibacterium sp[2];2.26;
d68200f2-48d6-4716-9d70-2b13cbb4438e;( - );( C );not reliable identification;1.55;not reliable identification;1.5;
e456a829-5c38-4388-8d8d-2dabf2952100;( +++ );( A );Propionibacterium acnes;2.35;Propionibacterium acnes;2.32;
05105ba5-e898-4d67-8fb5-78553c8ca3b4;( +++ );( A );Actinobaculum massiliense;2.45;not reliable identification;1.26;
081bea01-e805-40fc-9a75-9089f1eef2fc;( ++ );( A );Pseudomonas aeruginosa;2.21;Pseudomonas aeruginosa;2.1;
0befc7b8-85fe-4ed2-89fd-dac3986112c8;( ++ );( A );Stenotrophomonas maltophilia;2.27;Stenotrophomonas maltophilia;2.22;
0e32e094-c263-463e-9ce4-f440ebc21071;( ++ );( A );Staphylococcus epidermidis;2;Staphylococcus epidermidis;1.98;
0e3b9fee-4e8c-42cc-b27c-17abb14dbf38;( ++ );( A );Lactobacillus paracasei;2.2;Lactobacillus paracasei;2.19;
0e41073a-6186-4fc8-b614-0c33baa36d9e;( +++ );( A );Proteus mirabilis;2.37;Proteus mirabilis;2.36;
1350af22-c208-4670-83c1-9480a28086f7;( ++ );( B );Streptococcus mitis;2.26;Streptococcus oralis;2.19;
1605866a-3163-44f1-9d11-daa0c61f4ebb;( +++ );( A );Leuconostoc citreum;2.36;Leuconostoc citreum;2.17;
1667e84f-46e8-4f39-9291-05d20e92d87b;( +++ );( A );Staphylococcus capitis;2.38;Staphylococcus capitis;2.25;
1ccd2913-2848-4f54-bc5e-de996c19e8fa;( +++ );( B );MIX!Haemophilus pittmaniae;2.52;Haemophilus influenzae;2.36;
1d588e44-458c-4173-8850-0abbbdbda00c;( + );( B );Candida dubliniensis;1.71;not reliable identification;1.61;
21ba24f5-df3e-43e7-9566-2bbffa6fb4e1;( +++ );( A );Pseudomonas aeruginosa;2.33;Pseudomonas aeruginosa;2.22;
3062d41f-843e-44b1-b540-e1a97a55588f;( ++ );( A );Streptococcus constellatus;2.2;Streptococcus constellatus;1.95;
39dcc5c4-3d03-4550-8e55-600a4e723def;( ++ );( A );Streptococcus salivarius;2.19;Streptococcus salivarius;2.16;
402518d0-b0af-44a7-8fa4-0a03d464a12e;( ++ );( A );Staphylococcus lugdunensis;2.21;Staphylococcus lugdunensis;2.1;
4175bd64-2fb1-4a9d-bbd1-2ea4b96e4ae4;( ++ );( A );Pseudomonas aeruginosa;2.25;Pseudomonas aeruginosa;2.2;
4510332f-f813-48e9-9a56-2e3bea852f8e;( ++ );( A );Pseudomonas aeruginosa;2.23;Pseudomonas aeruginosa;2.07;
45982fa0-df18-42e3-b501-f8886fd9bb9b;( +++ );( A );Pseudomonas aeruginosa;2.39;Pseudomonas aeruginosa;2.32;
474f7ce1-4ae2-4aa1-9be8-fd512bb53842;( +++ );( B );Enterobacter cloacae;2.4;Enterobacter cloacae;2.4;
4aeb27c9-401b-43a1-a5a5-4fe8e4ddc8e9;( +++ );( B );Klebsiella pneumoniae;2.46;Klebsiella pneumoniae;2.4;
6152987f-e8ae-4b56-95b7-0a331f651d27;( ++ );( A );Pseudomonas aeruginosa;2.2;Pseudomonas aeruginosa;2.19;
6213e332-ffb9-4754-a15f-78ca48cbe543;( +++ );( A );Staphylococcus lugdunensis;2.35;Staphylococcus lugdunensis;2.27;
62369be8-b7f6-4297-b21d-d3aa39425f77;( +++ );( B );Pseudomonas putida;2.37;Pseudomonas putida;2.3;
62cbc4e3-5693-491f-bc82-954d3f27a5a1;( ++ );( A );Staphylococcus epidermidis;2.18;Staphylococcus epidermidis;1.99;
6be3cd24-6bec-4a78-9a3d-fda1fa74384b;( +++ );( B );Streptococcus mitis;2.34;Streptococcus mitis;2.25;
6f0c0f7f-71a5-4cc4-92de-972b594fb53b;( ++ );( A );Stenotrophomonas maltophilia;2.12;Stenotrophomonas maltophilia;2.07;
715367cb-3924-41f4-bf20-4fbb1bb7efc7;( ++ );( A );Staphylococcus epidermidis;2.15;Staphylococcus epidermidis;2.08;
67dd528b-dcff-4ad1-9ad8-da8fc442bbf5;( ++ );( A );Actinomyces oris;2.21;Actinomyces oris;2.19;
7400ab55-ba6d-4e5e-b5df-4886ba50c794;( + );( B );Streptococcus gordonii;1.98;Streptococcus gordonii;1.8;
68566358-fdd7-4fe1-a942-b8e5bc48275e;( + );( B );Staphylococcus lugdunensis;1.89;Staphylococcus lugdunensis;1.85;
7fa9ed96-e849-4517-ac21-2e7a573dddd1;( +++ );( A );Citrobacter koseri;2.36;Citrobacter koseri;2.35;
80d6e035-5e20-4df6-8b69-1bfa65c35ce0;( ++ );( A );Staphylococcus lugdunensis;2.07;Staphylococcus lugdunensis;2.05;
865cc738-e4bd-4654-84f0-edc20ef92365;( ++ );( A );Pseudomonas aeruginosa;2.2;Pseudomonas aeruginosa;2.16;
8961d440-6964-40f2-ab9b-2c596f13186b;( ++ );( A );Stenotrophomonas maltophilia;2.21;Stenotrophomonas maltophilia;2.14;
89f1ae68-96e8-41f2-896b-f0255d2a538d;( +++ );( C );MIX!Enterococcus faecalis;2.58;Enterococcus faecalis;2.31;
92395a89-4f89-4620-a2ba-24ae7699b23c;( +++ );( A );Staphylococcus hominis;2.35;Staphylococcus hominis;2.27;
94c76b77-5bab-425d-87de-cfbd75417a22;( ++ );( A );Lactobacillus fermentum;2.01;Lactobacillus fermentum;1.99;
951f3d70-c311-4316-b91e-f188a10b980d;( ++ );( A );MIX!Proteus mirabilis;2.11;Proteus mirabilis;1.71;
9c11f9fa-4112-4020-a7b6-b71526a9f2e2;( ++ );( A );Lactobacillus delbrueckii;2.11;Lactobacillus delbrueckii;2.1;
9f051758-4448-488d-a44e-3123dda4d934;( +++ );( A );MIX!Bacillus pumilus;2.36;Bacillus pumilus;1.91;
a68b0944-56df-4846-8299-807af1daaa83;( + );( B );Corynebacterium bovis;1.93;Corynebacterium bovis;1.91;
aaad1931-9248-425b-9bd7-9193a675d715;( ++ );( A );Stenotrophomonas maltophilia;2.27;Stenotrophomonas maltophilia;2.17;
b8e6fe57-2273-42d4-afea-13aeadba728f;( +++ );( A );Actinobaculum massiliense;2.39;not reliable identification;1.28;
c82619d0-f63b-4f08-a4b9-5b3d69e71ac9;( +++ );( A );Campylobacter jejuni;2.31;Campylobacter jejuni;2.21;
c92d9357-3ac3-4a6e-b83b-b01081210a4c;( ++ );( A );Escherichia coli;2.15;Escherichia coli;2.14;
c9a04e65-ca60-4e8a-a4b6-e4f3ba3f359d;( +++ );( A );MIX!Streptococcus constellatus;2.48;Streptococcus constellatus;1.74;
d8a8329c-2da3-41d4-ba0e-b58c71f04d27;( +++ );( A );Proteus mirabilis;2.34;Proteus mirabilis;2.34;
dd0fe746-ae8c-4cbd-abe8-2c74eaeb36fd;( ++ );( A );Pseudomonas aeruginosa;2.23;Pseudomonas aeruginosa;2.17;
dfa24632-88fc-4a95-a295-a1b74dd53ce5;( ++ );( A );Staphylococcus caprae;2.24;Staphylococcus caprae;2.14;
e9fc41c5-f262-463e-b029-d10aba2274fd;( ++ );( A );Pseudomonas aeruginosa;2.15;Pseudomonas aeruginosa;2.1;
f10d7f4e-79da-4d2b-8534-806498be9505;( ++ );( A );Stenotrophomonas maltophilia;2.28;Stenotrophomonas maltophilia;2.13;
f3381b4f-cd26-4374-a867-c4cfa06c31e2;( ++ );( A );Haemophilus haemolyticus;2.19;Haemophilus haemolyticus;2.11;
f5e0b64d-b70c-4485-9fb8-524f51d6820b;( +++ );( B );Klebsiella variicola;2.31;Klebsiella variicola;2.26;
f6636795-ce53-4909-bbc1-de946b2d2ee2;( ++ );( A );Pseudomonas aeruginosa;2.14;Pseudomonas aeruginosa;2.13;
f74bca01-485f-4bd8-b62d-991128a37457;( +++ );( A );Actinomyces turicensis;2.5;Actinomyces turicensis;2.37;
f857c107-e553-4544-9bfc-83246c2772bb;( +++ );( B );Enterobacter cloacae;2.34;Enterobacter cloacae;2.24;
fdb50aba-53f6-449e-b405-389f7f408432;( +++ );( A );Proteus mirabilis;2.39;Proteus mirabilis;2.33;
b644c78c-0602-4552-8cf1-9b61050bdb0d;( - );( C );not reliable identification;1.61;not reliable identification;1.56;
b644c78c-0602-4552-8cf1-9b61050bdb0d;( + );( B );Staphylococcus auricularis;1.78;Staphylococcus auricularis;1.74;
056499e2-0cc6-453a-8bd0-b1d2eff937e5;( + );( B );Gardnerella vaginalis;1.97;Gardnerella vaginalis;1.82;
2e9f08cb-7a57-476b-a035-c8a756ad67ab;( ++ );( A );Staphylococcus hominis;2.14;Staphylococcus hominis;2.11;
3b74bdaa-ce2b-4515-af20-55c341eecded;( +++ );( A );Enterococcus faecalis;2.44;Enterococcus faecalis;2.43;
40b15769-fca7-4e24-aef6-7cb1ae138bfb;( - );( C );no peaks found;< 0;no peaks found;< 0;
7aa150a7-7560-49cc-a937-2d0086b3d7bf;( +++ );( A );Streptococcus pyogenes;2.5;Streptococcus pyogenes;2.38;
9df37deb-86b9-4649-99e3-d60b690a96c4;( +++ );( A );Gardnerella vaginalis;2.34;Gardnerella vaginalis;2.08;
a574458d-11ce-4d18-bcac-f6ac023a5da3;( ++ );( A );Streptococcus constellatus;2.26;Streptococcus constellatus;2.1;
c75583e8-9540-4d87-b060-4b34c14f9345;( - );( C );no peaks found;< 0;no peaks found;< 0;
d55794ac-1a1d-4604-81e8-fa86c64a608d;( +++ );( A );Gardnerella vaginalis;2.48;Gardnerella vaginalis;2.44;
e9c5e152-a2fb-43bf-a34c-a396e169ec21;( +++ );( A );Gardnerella vaginalis;2.35;Gardnerella vaginalis;2.29;
f0b7dba3-2b2d-4ae3-8dc2-57e590bcdc4a;( ++ );( A );Candida albicans;2.08;Candida albicans;2.04;
0570aaf4-58e7-47cb-868c-52c146b4bc26;( +++ );( A );Pseudomonas aeruginosa;2.38;Pseudomonas aeruginosa;2.26;
092a62ae-6294-4a9c-8ff9-eeb6112a01d7;( ++ );( B );Streptococcus dysgalactiae;2.24;Streptococcus dysgalactiae;2.15;
348d9cc1-12de-44a6-aedd-afab1beb4c93;( +++ );( A );Staphylococcus aureus;2.36;Staphylococcus aureus;2.33;
4a22f421-33c9-4426-9ce3-ad8d8aa28323;( +++ );( A );Staphylococcus aureus;2.36;Staphylococcus aureus;2.29;
4cf69af4-63c4-48ca-8478-04dfeb4e5125;( +++ );( A );Pseudomonas aeruginosa;2.4;Pseudomonas aeruginosa;2.33;
4d27e71b-2030-433e-807b-84d24bdf2bbe;( + );( B );Corynebacterium aurimucosum;1.7;not reliable identification;1.64;
59b40437-1ed2-4653-b129-2eaeb5c6f78a;( +++ );( A );Pseudomonas aeruginosa;2.4;Pseudomonas aeruginosa;2.27;
5dbcfdda-909b-4f89-bfc9-daa889359c01;( +++ );( A );Pseudomonas aeruginosa;2.4;Pseudomonas aeruginosa;2.32;
662a7af3-cd2e-4d7b-b959-727e6b9b62f2;( - );( C );not reliable identification;1.62;not reliable identification;1.54;
