003376ac-cc01-4c67-bb8e-b9d9860a2b66;( - );( C );no peaks found ;<0;no peaks found ;<0;
41b0a847-16c4-4df6-b75f-7dcb36e3189d;( ++ );( A );Staphylococcus hominis;2.16;Staphylococcus hominis;2.15;
41db5c5d-c06e-4f9a-baae-12a9a5f0d059;( ++ );( A );Streptococcus anginosus;2.17;Streptococcus anginosus;2.16;
41e95676-30a0-467a-ae2e-0cab5532f363;( +++ );( A );Streptococcus agalactiae;2.31;Streptococcus agalactiae;2.13;
42427675-7417-4615-8fe3-f5ce38336c99;( +++ );( A );Morganella morganii;2.46;Morganella morganii;2.45;
428fdf24-a309-4ffe-8d25-51aafd8814dc;( +++ );( B );Escherichia coli;2.4;Escherichia coli;2.31;
4294d969-c214-4d33-8785-e6e8f7524822;( ++ );( A );Lactobacillus fermentum;2.11;Lactobacillus fermentum;2.05;
42df6023-2b55-4822-9561-b970ca262912;( +++ );( A );MIX!Pseudomonas aeruginosa;2.51;Pseudomonas aeruginosa;2.28;
433b8ba7-da98-4ac2-a53a-93639794d373;( - );( C );not reliable identification;1.58;not reliable identification;1.42;
436ce316-9c26-40ca-9c8c-31e1b0c321b8;( ++ );( B );Neisseria subflava;2.14;Neisseria flavescens;2.12;
43d01942-9982-492e-b6db-fb2cef74e23a;( + );( B );Candida parapsilosis;1.98;Candida parapsilosis;1.96;
441cdfe0-9ae8-44c9-8381-168dea1a6239;( +++ );( A );Streptococcus agalactiae;2.33;Streptococcus agalactiae;2.25;
444ac518-823c-4203-aa8d-0b9bd9f9a20a;( +++ );( A );Staphylococcus aureus;2.36;Staphylococcus aureus;2.32;
44bd311b-4c20-4bf3-9f8d-c2d522a504fc;( ++ );( A );Staphylococcus epidermidis;2.02;Staphylococcus epidermidis;1.99;
44c31906-3e52-4a1d-b49a-79eec58aa95f;( ++ );( A );Staphylococcus aureus;2.29;Staphylococcus aureus;2.28;
44fd4678-4bc8-4f5d-aa88-bdb03e7ddfa1;( +++ );( A );Escherichia coli;2.31;Escherichia coli;2.25;
45054936-17aa-4bd0-b1be-f6f978d60fcf;( ++ );( B );Streptococcus dysgalactiae;2.15;Streptococcus dysgalactiae;2.13;
4522a8e9-f5b1-4374-9216-9d11c6290528;( ++ );( A );Corynebacterium amycolatum;2.24;Corynebacterium amycolatum;2.22;
460d0449-eba1-4909-9bc9-44f775764782;( ++ );( A );Streptococcus anginosus;2.08;Streptococcus anginosus;2.01;
46287b3d-92b9-4885-9c30-975d5e4db5da;( - );( C );not reliable identification;1.43;not reliable identification;1.41;
46987e44-d7b7-4b74-94be-244409dd03a9;( ++ );( A );Pseudomonas aeruginosa;2.2;Pseudomonas aeruginosa;2.19;
47707c13-50e5-4e6b-abd9-8254c79436f0;( +++ );( A );Escherichia coli;2.38;Escherichia coli;2.34;
49418180-7675-47f2-8861-c022b4a4cf6e;( ++ );( A );Candida glabrata;2.03;Candida glabrata;1.99;
4944d2d8-8589-42e9-aeab-350eebd11974;( ++ );( A );Pseudomonas aeruginosa;2.25;Pseudomonas aeruginosa;2.22;
49a8fddf-2ef2-4bf6-90b7-c82bc2cba548;( ++ );( A );Streptococcus anginosus;2.27;Streptococcus anginosus;2.18;
49b811e6-7ccf-498d-aa89-5c624a861dec;( + );( B );Candida glabrata;1.87;Candida glabrata;1.75;
49d1f013-e718-4c8c-b26a-c4b8ea699796;( ++ );( A );Streptococcus agalactiae;2.17;Streptococcus agalactiae;2.11;
49e5cd81-543b-44ea-a1f5-455ec943d5f1;( - );( C );no peaks found ;<0;no peaks found ;<0;
49eb7bfb-e492-4b6d-91fb-5e4bd48eeb09;( ++ );( A );Escherichia coli;2.11;Escherichia coli;2.09;
49f8740a-071e-4242-b27d-62f63152c77d;( +++ );( B );Proteus vulgaris;2.46;Proteus vulgaris;2.36;
4a8f740c-c78f-4769-8bf5-76948fbb4834;( ++ );( B );Enterobacter cloacae;2.23;Enterobacter cloacae;2.19;
4add27a5-6af5-43f1-b219-1c20b76d2a73;( ++ );( A );Morganella morganii;2.25;Morganella morganii;2.22;
4b9d09c4-c566-48b0-91bc-342c4ea6b3cf;( ++ );( A );Streptococcus oralis;2.15;Streptococcus oralis;2.14;
4bad09d9-2d25-4f31-a824-55e3c15607cd;( ++ );( A );Escherichia coli;2.14;Escherichia coli;2.12;
4bd4892d-0143-4275-ab85-5146942d93d8;( ++ );( A );Escherichia coli;2.14;Escherichia coli;2.09;
4c13dc54-0e74-486a-b190-b18a99634ab5;( ++ );( A );Streptococcus pneumoniae;2.28;Streptococcus pneumoniae;2.22;
4c7f6140-b17c-48a5-b481-972a8ce1f35e;( ++ );( A );Staphylococcus epidermidis;2.23;Staphylococcus epidermidis;2.12;
4cceaab8-66cd-49a2-b49a-8bc4b5dd3d39;( +++ );( A );Pseudomonas aeruginosa;2.36;Pseudomonas aeruginosa;2.35;
4cd0cfc0-5d45-48d3-b773-4b70b8981a3b;( +++ );( A );MIX!Staphylococcus aureus;2.32;Staphylococcus aureus;2.2;
4d1b9ffa-aa50-4a55-8730-13c405b316df;( +++ );( A );MIX!Acinetobacter guillouiae;2.54;Acinetobacter guillouiae;2.27;
4db62837-7146-4964-ae0f-52a2a6b0b959;( ++ );( A );Staphylococcus haemolyticus;2.02;Staphylococcus haemolyticus;2.01;
4e0800cc-78ec-4637-8c1d-d5da71812f12;( ++ );( A );Staphylococcus caprae;2.04;Staphylococcus caprae;2.02;
4f365ac8-ce86-4159-a670-7f2fa1caa49f;( ++ );( A );Streptococcus anginosus;2.11;Streptococcus anginosus;2.11;
4f67a38d-3475-47f5-97e8-6461388ebe3f;( ++ );( A );Staphylococcus haemolyticus;2.17;Staphylococcus haemolyticus;2.08;
4fb58855-e4bc-4423-8c84-ae535ec16229;( ++ );( A );Staphylococcus epidermidis;2;Staphylococcus epidermidis;1.9;
505b91e2-de63-400e-9b73-c7b159f554cf;( ++ );( A );Streptococcus mitis;2.01;Streptococcus mitis;1.98;
50d3d89e-db89-4e76-b859-baa160016cb0;( + );( B );Staphylococcus haemolyticus;1.98;Staphylococcus haemolyticus;1.81;
50fd7f52-bdc0-4487-8567-5c1ed897d2fd;( +++ );( A );Proteus mirabilis;2.43;Proteus mirabilis;2.29;
51c23c0f-904a-47ca-9b93-ea9c02101222;( + );( B );Staphylococcus capitis;1.99;Staphylococcus capitis;1.85;
52219df3-5af4-4ce2-8a5f-0e61ec447824;( +++ );( A );Staphylococcus hominis;2.34;Staphylococcus hominis;2.32;
52c9b4c6-567a-4d0f-a77a-904200ac0d74;( + );( C );Candida krusei;1.92;Candida krusei;1.89;
5333345f-3dca-412a-a40f-3df5f9532adb;( +++ );( B );Escherichia coli;2.3;Escherichia coli;2.28;
54470a33-c080-4f7d-ac62-50bd51c53167;( + );( B );Streptococcus anginosus;1.96;Streptococcus anginosus;1.93;
546a71e8-6716-4593-be52-cc41c0270102;( + );( B );Staphylococcus caprae;1.99;Staphylococcus caprae;1.82;
54ac71fb-059b-490b-b335-c893f188e3e7;( ++ );( A );Streptococcus anginosus;2.28;Streptococcus anginosus;2.11;
54c72130-383e-487b-aff1-75eb9bd5ee42;( - );( C );no peaks found ;<0;no peaks found ;<0;
55196024-7d03-44fb-9316-c87d658a89ac;( ++ );( B );Escherichia coli;2.25;Escherichia coli;2.25;
55d95292-099c-471e-b3d3-e81522dfce0c;( +++ );( A );Propionibacterium acnes;2.37;Propionibacterium acnes;2.31;
560a0209-f116-4bb4-bd40-0d9ba1021f5e;( ++ );( A );Peptostreptococcus anaerobius;2.25;Peptostreptococcus anaerobius;2.24;
5668a679-9ea0-4c10-88de-a0bee00a98f0;( ++ );( A );Escherichia coli;2.21;Escherichia coli;2.17;
56c6e2aa-13fe-416a-86ec-0de57dfa1d60;( ++ );( A );Staphylococcus epidermidis;2.29;Staphylococcus epidermidis;2.17;
580d630d-9ea7-4696-94b8-0ee468a24fbe;( + );( B );Microbacterium aurum;1.76;Microbacterium aurum;1.71;
581057b3-d003-4a3f-874b-249137cffcf6;( - );( C );not reliable identification;1.19;not reliable identification;1.06;
5836b356-f1d9-4630-aac7-b025552cbd22;( ++ );( B );Streptococcus mitis;2.24;Streptococcus mitis;2.23;
588b66c6-edb0-45c4-bba4-0dfbea3fa224;( ++ );( A );Enterococcus avium;2.2;Enterococcus avium;2.17;
5908d92d-c094-415d-b20d-de4aac0cdaa2;( ++ );( A );Staphylococcus aureus;2.29;Staphylococcus aureus;2.15;
591d78b9-840b-4389-85d6-0b407882570d;( - );( C );no peaks found ;<0;no peaks found ;<0;
592ad82d-0d1f-4c93-93de-357b47ad40aa;( - );( C );no peaks found ;<0;no peaks found ;<0;
5a048b37-7281-4eb6-a09d-bb051167a7fd;( ++ );( A );Staphylococcus aureus;2.23;Staphylococcus aureus;2.14;
5a064a34-ed09-4dc6-b32e-f64f7e7a893d;( +++ );( A );Candida kefyr;2.34;Candida kefyr;2.34;
5a84abfe-43d8-4fc9-bfc8-60db55685ca7;( ++ );( A );Escherichia coli;2.26;Escherichia coli;2.25;
5afa97d5-66d5-4c62-b9c1-173d61e3d37d;( ++ );( A );Streptococcus agalactiae;2.25;Streptococcus agalactiae;2.22;
5b46fd17-6905-4bf8-b679-df7d8fcd1d3e;( +++ );( A );Citrobacter koseri;2.38;Citrobacter koseri;2.37;
5b5910dc-9945-4446-9ec7-3066f21e4aa8;( +++ );( A );Pseudomonas aeruginosa;2.38;Pseudomonas aeruginosa;2.22;
5c01590b-ebc4-4b70-905b-6cbd5bdf9147;( +++ );( C );Klebsiella oxytoca;2.47;Klebsiella oxytoca;2.44;
5ce6411e-27b0-447f-8694-f350d9012f3e;( ++ );( A );Streptococcus anginosus;2.16;Streptococcus anginosus;2;
5d09ee97-dd4d-4156-a782-97f19538d0f4;( ++ );( A );Streptococcus pneumoniae;2.28;Streptococcus pneumoniae;2.23;
5de1e656-c002-4606-bbbb-bf1a45c18bd3;( ++ );( A );Gardnerella vaginalis;2.03;Gardnerella vaginalis;1.97;
5e244aa4-e816-47e3-bba6-8613ccda71cb;( ++ );( B );Escherichia coli;2.23;Escherichia coli;2.2;
5e6d44cb-b0cd-4a2a-90ca-a15f108ddb9c;( ++ );( A );Streptococcus canis;2.1;Streptococcus dysgalactiae;1.97;
5ea7a4aa-6ce5-4948-90d0-5a3b25f45fae;( +++ );( B );Serratia marcescens;2.3;Serratia marcescens;2.16;
5eae3d94-c2ec-49fc-98b6-b5682ec8e679;( + );( B );Granulicatella adiacens;1.79;Granulicatella adiacens;1.77;
5eb5d5f4-6c1c-4402-92b9-205edebe3aab;( + );( C );Citrobacter koseri;1.82;Enterobacter cloacae;1.76;
5ed28238-55e4-4fd9-9383-04523f03b4fe;( ++ );( B );Enterobacter ludwigii;2.24;Enterobacter cloacae;2.23;
5f723a84-03cb-4124-8c1d-f66b521ca42c;( +++ );( A );Staphylococcus aureus;2.33;Staphylococcus aureus;2.18;
5fdec5ff-0206-4e33-bd37-7cb45b8789f1;( ++ );( A );Streptococcus oralis;2;Streptococcus oralis;2;
5ffd4a35-5786-4a0c-8e6e-1748f21a03a6;( +++ );( A );Escherichia coli;2.32;Escherichia coli;2.32;
608a3036-6b82-4e21-824c-231e8e749fe5;( - );( C );not reliable identification;1.36;not reliable identification;1.33;
6134dfe5-c4a6-4203-bc8a-295fce4ab378;( +++ );( A );MIX!Neisseria subflava;2.36;Neisseria subflava;2.18;
61930f74-13c8-47af-8aee-342a74e34fe8;( ++ );( B );Streptococcus dysgalactiae;2.2;Streptococcus dysgalactiae;2.19;
61b18777-1491-4f90-ad72-262526ca696b;( +++ );( A );Proteus mirabilis;2.5;Proteus mirabilis;2.44;
61be0959-8e51-495b-8740-626bb366d93a;( ++ );( A );Pseudomonas aeruginosa;2.24;Pseudomonas aeruginosa;2.23;
61c13499-7502-442e-acd6-17006bfd6c0e;( +++ );( C );MIX!Rothia mucilaginosa;2.58;Haemophilus influenzae;2.56;
61dd6ea0-9f61-4360-bcc5-aec73067ed71;( - );( C );not reliable identification;1.51;not reliable identification;1.5;
61e64e13-0fa0-4c83-8d58-e32cc23876bb;( ++ );( A );Staphylococcus epidermidis;2.15;Staphylococcus epidermidis;1.91;
62a9d4cb-a1c0-4d2b-bc6c-7c61f381f29b;( +++ );( B );Citrobacter freundii;2.5;Citrobacter freundii;2.48;
62c82951-2adc-47b5-b54d-f0a033fb4de9;( ++ );( A );Staphylococcus aureus;2.22;Staphylococcus aureus;2.22;
633163b2-c901-42df-89f3-9cccc5f5a86c;( ++ );( A );Staphylococcus epidermidis;2.12;Staphylococcus epidermidis;2.09;
638a4759-9065-4b66-b97b-5165cdfc7de2;( ++ );( A );Peptoniphilus olsenii;2.17;Peptoniphilus olsenii;2.01;
6390be5e-7b5e-4050-9fde-26f15ea0ef58;( +++ );( A );Anaerococcus vaginalis;2.37;Anaerococcus vaginalis;2.35;
6394d18f-784a-41b7-9244-cc1e4b393a07;( +++ );( B );Salmonella spp;2.49;Salmonella anatum;2.38;
639b635d-9981-48f4-b21d-2253668efaa8;( +++ );( A );Streptococcus constellatus;2.33;Streptococcus constellatus;1.99;
645c60e0-15d5-41d0-bb27-cf4ebba70a3d;( +++ );( A );Neisseria gonorrhoeae;2.31;Neisseria gonorrhoeae;2.31;
64aaaca8-568e-4c97-9737-4c4f385966dc;( ++ );( A );Escherichia coli;2.16;Escherichia coli;2.04;
6513461c-ce01-4276-be2d-940144969f39;( +++ );( A );Pseudomonas aeruginosa;2.43;Pseudomonas aeruginosa;2.32;
65a4a877-ab45-405f-88ba-985404934b92;( +++ );( A );Staphylococcus aureus;2.36;Staphylococcus aureus;2.18;
65f71dd7-607f-4ce0-b7a5-86dce42862ae;( +++ );( A );Enterococcus faecalis;2.33;Enterococcus faecalis;2.31;
66b253fd-9825-42b9-8aef-476914824a07;( ++ );( B );Escherichia coli;2.25;Escherichia coli;2.25;
66f98fed-9953-4688-962b-3b6047b27db9;( ++ );( A );Staphylococcus capitis;2.08;Staphylococcus capitis;2.08;
67442bdb-c875-4696-a1f7-788b46bade0d;( +++ );( A );Staphylococcus aureus;2.3;Staphylococcus aureus;2.23;
67664538-e869-44dd-b0bf-507e1740ec9d;( ++ );( B );Streptococcus pneumoniae;2.17;Streptococcus pneumoniae;2.14;
6859364f-0caf-4670-8986-b6ca4ab69589;( +++ );( B );Proteus vulgaris;2.46;Proteus vulgaris;2.33;
68d1147b-1606-46e3-a515-e992f0f84455;( +++ );( A );Staphylococcus aureus;2.4;Staphylococcus aureus;2.34;
6927fb4a-4fa4-4b96-8536-912a780905e7;( ++ );( A );Aerococcus urinae;2.17;Aerococcus urinae;2.07;
69593109-e36c-42ac-a4b0-6d70fec409f3;( ++ );( A );Staphylococcus epidermidis;2.04;Staphylococcus epidermidis;2.01;
697b8e0d-6300-472e-82ce-c8e9911e9de8;( +++ );( A );Enterococcus faecalis;2.38;Enterococcus faecalis;2.24;
6a22cc66-5478-4296-b319-e16249f89e38;( ++ );( A );Staphylococcus aureus;2.14;Staphylococcus aureus;2.01;
6a59ff03-ba4c-4e1c-9fcc-a87d7889b2a7;( ++ );( A );Actinotignum schaalii;2.1;Actinotignum schaalii;2;
6aac9f68-dc27-4edd-9255-61fbef032788;( ++ );( A );Streptococcus agalactiae;2.22;Streptococcus agalactiae;2.15;
6aafc8f7-c52e-41e8-b04a-089988ce6484;( +++ );( C );MIX!Staphylococcus saccharolyticus;2.66;Staphylococcus saccharolyticus;2.63;
6ae2ffbd-333d-4760-9381-23848dc8902b;( ++ );( A );Streptococcus oralis;2.17;Streptococcus oralis;2.09;
6aef4854-0b0f-40a9-8dea-05f0481eded9;( ++ );( B );Streptococcus oralis;2.11;Streptococcus mitis;2.11;
6c71ce8c-29ea-4780-85fe-d1f035f878bd;( ++ );( A );Candida albicans;2.03;Candida albicans;2.03;
6ca63fa4-0c00-4de0-a6cc-6c4c09bfea5b;( +++ );( A );Proteus mirabilis;2.52;Proteus mirabilis;2.4;
6d237534-9b8e-438e-bc69-4e65081cdeb1;( + );( B );Aerococcus urinae;1.8;Aerococcus urinae;1.75;
6d91b997-68a5-4526-a18c-f6c8b0b10d63;( +++ );( A );Staphylococcus aureus;2.36;Staphylococcus aureus;2.29;
6e134bfa-b461-4179-9952-6ec121e846c1;( +++ );( A );Staphylococcus aureus;2.46;Staphylococcus aureus;2.41;
6ec22261-7182-48d9-a410-03ed97dc12ff;( ++ );( A );Enterococcus faecalis;2.13;Enterococcus faecalis;2.1;
6f067a6f-c577-4230-a808-350f5948e6ab;( ++ );( A );Streptococcus agalactiae;2.19;Streptococcus agalactiae;2.1;
6f437ae5-12e7-43b0-baf1-09f863e87a64;( +++ );( A );Dermabacter hominis;2.31;Dermabacter hominis;2.15;
6fa30bee-f9dc-4fe7-99c7-bea3cae06bca;( ++ );( A );Enterococcus faecalis;2.1;Enterococcus faecalis;2.09;
70417a5a-ddeb-4be4-a276-15ad3cb8ffff;( + );( B );Staphylococcus epidermidis;1.99;Staphylococcus epidermidis;1.97;
70926e47-b946-4bb6-ba72-a2cd7cbcfd2a;( ++ );( A );Corynebacterium amycolatum;2.21;Corynebacterium amycolatum;2.19;
70a76c46-143a-42a6-a299-694c8622dcc6;( ++ );( B );Neisseria subflava;2.11;Neisseria flavescens;2.1;
70b6d844-dd28-47d4-b101-dd120329c9a4;( ++ );( A );Staphylococcus epidermidis;2.21;Staphylococcus epidermidis;2.1;
7103811a-5f09-4035-b37b-85e6f2bf9102;( +++ );( A );MIX!Staphylococcus caprae;2.38;Staphylococcus caprae;2.08;
718faa8c-129b-4644-8384-8d822993e2b1;( +++ );( A );Staphylococcus aureus;2.39;Staphylococcus aureus;2.38;
71910e70-73db-4c76-8db9-637249430908;( ++ );( A );Haemophilus parahaemolyticus;2.22;Haemophilus parahaemolyticus;2.22;
71a06dd6-ef6e-4433-8cc0-7d090f61c38f;( +++ );( A );Pseudomonas aeruginosa;2.34;Pseudomonas aeruginosa;2.32;
71e7f8d0-7573-4a35-bee7-b0e15fbbd44f;( +++ );( B );Escherichia coli;2.39;Escherichia coli;2.38;
71efcf7c-a466-451a-8df3-1027b7b9b5ec;( ++ );( A );Pichia norvegensis;2.17;Pichia norvegensis;2.06;
720db15a-933f-49a1-abf0-1ce78fdc2016;( + );( B );Staphylococcus epidermidis;1.99;Staphylococcus epidermidis;1.99;
727fe348-63bc-4f1f-adc5-bc225b3c68ba;( + );( B );Enterococcus faecium;1.7;not reliable identification;1.54;
72b2e350-5fb3-4e02-855c-8f0f027b56a4;( +++ );( A );MIX!Neisseria macacae;2.38;Neisseria macacae;2.17;
72b45df4-c876-4948-b7b0-d695203a80cd;( ++ );( A );Enterococcus faecalis;2.27;Enterococcus faecalis;2.21;
72b990d6-afec-49c1-a044-a051b3763dd2;( ++ );( A );Streptococcus anginosus;2.13;Streptococcus anginosus;1.94;
744f94df-2815-4d79-935e-6a951d03ea1a;( ++ );( A );Streptococcus agalactiae;2.1;Streptococcus agalactiae;2.09;
74752020-5bc2-4275-9a90-e588e20ec26d;( ++ );( A );Streptococcus agalactiae;2.26;Streptococcus agalactiae;2.24;
74b5f899-67c1-4e80-a7bf-9162841a8990;( + );( B );Candida glabrata;1.91;Candida glabrata;1.9;
75130764-7593-4492-afa1-7e5f8cce73d1;( - );( C );not reliable identification;1.27;not reliable identification;1.21;
754eb1e1-e3a3-4723-851f-e2c5883b967f;( +++ );( A );Lactobacillus iners;2.39;not reliable identification;1.36;
75b8509f-7d29-40ee-9a16-0dd5748bdf3b;( ++ );( B );Enterobacter kobei;2.2;Enterobacter cloacae;2.11;
761b2660-77ad-454e-a143-2a78c1d2a862;( ++ );( A );Streptococcus anginosus;2.14;Streptococcus anginosus;1.98;
762e8dfc-7071-4bb2-80a9-49f9b825ff3a;( +++ );( A );Moraxella_sg_Branhamella catarrhalis;2.54;Moraxella_sg_Branhamella catarrhalis;2.37;
76528ca6-f6fa-4be7-a9e3-a8972caf821d;( ++ );( B );Streptococcus dysgalactiae;2.12;Streptococcus dysgalactiae;2.09;
769f4d98-4385-47e9-892d-85a3da02c282;( +++ );( A );Enterococcus faecium;2.4;Enterococcus faecium;2.4;
769fa4f2-7643-434d-aa86-1e49bfa95d16;( +++ );( A );Staphylococcus aureus;2.3;Staphylococcus aureus;2.3;
77a55fc7-84c7-4bc6-9eb2-c6085aa051ca;( +++ );( A );Escherichia coli;2.4;Escherichia coli;2.32;
77ff9bec-4abe-4125-ac8d-f57500d99768;( ++ );( A );Pseudomonas aeruginosa;2.28;Pseudomonas aeruginosa;2.26;
78bde317-1a22-4ea5-9fe0-a77bb6498deb;( ++ );( C );Klebsiella oxytoca;2.2;Klebsiella oxytoca;2.18;
78c293f3-f46f-4fbe-8ecf-f8e37c047ba5;( ++ );( A );Streptococcus anginosus;2.27;Streptococcus anginosus;2.25;
790b1e30-4d4b-4ed2-a7af-3110dd358941;( +++ );( A );Staphylococcus aureus;2.41;Staphylococcus aureus;2.32;
7966c99e-aef9-4ece-b0d6-597ea35b54e5;( - );( C );not reliable identification;1.34;not reliable identification;1.31;
7974902a-c1ca-48fb-91e5-a0f316f8d969;( ++ );( A );Staphylococcus epidermidis;2.13;Staphylococcus epidermidis;2;
79998809-9402-48a1-9ae9-ee128de63d2b;( ++ );( A );Staphylococcus epidermidis;2.22;Staphylococcus epidermidis;2.15;
7999fd0c-2cfb-4a75-8063-919093a6c88f;( +++ );( A );Pseudomonas aeruginosa;2.31;Pseudomonas aeruginosa;2.3;
7aa7b013-205d-4070-8009-97bd44a4b423;( + );( B );Candida albicans;1.94;Candida albicans;1.88;
7ac1ca33-50cb-4134-91fc-a3077094b41e;( + );( B );Candida albicans;1.96;Candida albicans;1.89;
7b907ccd-f4ce-44c3-9a62-de9bb298eb2b;( +++ );( A );Streptococcus agalactiae;2.3;Streptococcus agalactiae;2.3;
7b911900-2e40-45e1-b3a1-fae2d74b48cc;( ++ );( B );Enterobacter ludwigii;2.18;Enterobacter cloacae;2.16;
7c0e4e91-3caf-4bcd-8d17-1afb984c2e77;( ++ );( A );Staphylococcus haemolyticus;2.18;Staphylococcus haemolyticus;2.07;
7c6f5d42-dca1-487c-a1ae-1f060d6640a8;( +++ );( B );Salmonella spp;2.4;Salmonella sp;2.36;
7d7bc798-6c0c-4053-a6f8-2b67e9073a18;( +++ );( A );Escherichia coli;2.44;Escherichia coli;2.42;
7d93decc-dd50-488c-a8fc-462b11bcbcb4;( - );( C );no peaks found ;<0;no peaks found ;<0;
7e0c5cec-d40f-43fb-9759-83928a630275;( ++ );( A );Staphylococcus aureus;2.11;Staphylococcus aureus;2.08;
7e173e5d-66d6-448e-9666-9f2d9535ff0c;( - );( C );not reliable identification;1.66;not reliable identification;1.62;
7e4a4308-dab2-4818-8ffb-b962f25f642e;( ++ );( A );Neisseria cinerea;2.13;Neisseria cinerea;2.13;
7e9d5377-3c8e-4f4e-8877-7a9fd34a0b00;( +++ );( C );Klebsiella oxytoca;2.34;Klebsiella oxytoca;2.27;
7f57713a-b651-4927-a40f-4184ee8014d3;( ++ );( A );Staphylococcus caprae;2.28;Staphylococcus caprae;2.27;
7fa72a3c-5029-4700-ab2c-7d1a5511dca9;( +++ );( B );Escherichia coli;2.33;Escherichia coli;2.29;
7fbd9fa9-4513-4dba-9ef1-2283d93632d4;( ++ );( A );Streptococcus mutans;2.08;Streptococcus mutans;1.87;
7fbe646d-db13-4eef-ae99-8e2274768f41;( - );( C );no peaks found ;<0;no peaks found ;<0;
80405c79-13d9-446e-818a-d752a74c7227;( +++ );( A );Streptococcus agalactiae;2.41;Streptococcus agalactiae;2.35;
804a002f-659d-4aea-92d7-bae3f37cb52f;( ++ );( A );Candida albicans;2.01;Candida albicans;1.92;
80a222c0-c7e2-4272-89e2-c63bee0c3405;( +++ );( B );Klebsiella pneumoniae;2.38;Klebsiella pneumoniae;2.37;
80de7d4f-2d3a-4621-8d82-e214e5fb4a66;( + );( B );Candida albicans;1.95;Candida albicans;1.95;
81338f33-34ba-4def-a8c7-d1a015a42f35;( + );( B );Streptococcus oralis;1.95;Streptococcus oralis;1.94;
819dab34-d238-4f9b-9540-f5c7e3ea7974;( +++ );( A );Staphylococcus aureus;2.32;Staphylococcus aureus;2.29;
81f0bfac-ec5d-4f1c-8c08-712c94d2edf7;( ++ );( C );Enterobacter kobei;2.19;Enterobacter asburiae;2.1;
82ae52ff-0a8b-4725-81ae-66e933b9cc80;( +++ );( A );Staphylococcus aureus;2.36;Staphylococcus aureus;2.34;
82c956ef-c7a7-4ad0-9160-87653923efa3;( ++ );( A );Staphylococcus caprae;2.09;Staphylococcus caprae;2.02;
82f6f107-4c18-48d5-829b-a4960e14ad90;( +++ );( A );Corynebacterium amycolatum;2.45;Corynebacterium amycolatum;2.33;
832bfc90-da59-4000-9f88-b6c1dd9b0965;( +++ );( A );Enterococcus faecalis;2.45;Enterococcus faecalis;2.41;
833e184e-7b6f-4cd3-8bd3-a6791def4da0;( ++ );( A );Staphylococcus epidermidis;2.07;Staphylococcus epidermidis;1.84;
83c4841c-45fb-43f8-bfed-457c66a0278e;( ++ );( A );Haemophilus parainfluenzae;2.08;Haemophilus parainfluenzae;1.74;
83f6c70b-1e15-4ad0-90d3-e15de417db31;( +++ );( A );Staphylococcus aureus;2.37;Staphylococcus aureus;2.26;
8412039a-39bd-4a52-aa6e-b79d3d596492;( +++ );( A );MIX!Pseudomonas aeruginosa;2.57;Pseudomonas aeruginosa;2.39;
843759ef-88f8-40f4-9851-42c3a7a43e95;( +++ );( A );Proteus mirabilis;2.36;Proteus mirabilis;2.26;
845be54c-7e45-4ae8-ad05-1b1efd6d6226;( +++ );( A );Proteus mirabilis;2.44;Proteus mirabilis;2.37;
84c769eb-cbfe-4138-adc8-f38bcf91ec08;( +++ );( A );Escherichia coli;2.41;Escherichia coli;2.39;
84d825a6-e6d6-42dc-aa9d-f422c3afd9a8;( ++ );( A );Streptococcus agalactiae;2.21;Streptococcus agalactiae;2.17;
8505b1a0-690c-49a6-ba7c-63bc2761655e;( +++ );( A );Actinomyces turicensis;2.47;Actinomyces turicensis;2.35;
856218aa-c83f-4a66-8fe3-2eaa7e961032;( +++ );( A );Enterococcus faecalis;2.41;Enterococcus faecalis;2.16;
85b18261-d705-4255-9447-ffbe16453c89;( - );( C );not reliable identification;1.51;not reliable identification;1.4;
85ccb50d-fc5a-467a-9e9b-9b868772fed8;( - );( C );no peaks found ;<0;no peaks found ;<0;
8651b678-1ac0-47cb-94a8-f0d27ff4ea13;( +++ );( A );Providencia rettgeri;2.41;Providencia rettgeri;2.34;
866234e1-e169-4eb6-83df-e3812ce8f100;( +++ );( A );Citrobacter koseri;2.45;Citrobacter koseri;2.36;
87649382-7e52-411a-9597-1581e7ecb35e;( +++ );( B );MIX!Neisseria subflava;2.58;Neisseria subflava;2.55;
880d056a-f846-4bc8-82c1-4b7ec542cb60;( ++ );( A );Candida albicans;2.12;Candida albicans;2.06;
882bf900-8210-42f8-9059-54812d94d77e;( ++ );( A );Pseudomonas aeruginosa;2.26;Pseudomonas aeruginosa;2.24;
8a5aa2b0-9318-4cff-9131-166dbb0f0169;( +++ );( A );Streptococcus canis;2.5;Streptococcus canis;2.46;
8a85ab7e-15b3-454b-8f0a-cffd61fc1a32;( ++ );( A );Escherichia coli;2.02;Escherichia coli;1.97;
8abb075b-e40f-4410-a579-6302732c9a84;( ++ );( B );Escherichia coli;2.22;Escherichia coli;2.19;
8ae89d4d-a970-403a-b96b-d6225399f2c5;( ++ );( C );Enterobacter cloacae;2.2;Enterobacter cloacae;2.16;
8bdb4baf-1d98-4cc1-bd18-826f878eb3f8;( +++ );( A );Morganella morganii;2.67;Morganella morganii;2.6;
8c1b941b-29fd-4984-b694-1a84e4da3408;( ++ );( A );Streptococcus anginosus;2.2;Streptococcus anginosus;2.15;
